voltage,current,temperature,resistance,frequency,power,fault
244.2,15.8,48.63,17.2,48.58,3858.43,1.0
230.28,9.8,37.09,23.64,50.09,2255.77,0.0
224.93,10.61,32.83,23.58,50.54,2386.1,0.0
260.89,16.33,50.59,22.12,51.57,4260.26,1.0
220.58,10.19,37.64,22.31,50.6,2247.47,0.0
228.97,10.31,40.8,21.42,50.33,2361.74,0.0
227.27,10.32,33.33,22.86,49.91,2344.76,0.0
223.95,10.55,33.9,24.41,50.76,2362.04,0.0
224.52,8.48,29.42,22.57,49.43,1903.6,0.0
239.79,8.83,30.26,25.93,50.65,2117.61,0.0
229.54,18.72,64.13,16.9,48.88,4296.87,1.0
234.12,11.4,38.49,22.02,49.97,2669.1,0.0
237.44,12.48,51.48,22.39,47.7,2963.61,1.0
224.31,8.41,33.52,26.06,49.98,1886.69,0.0
266.99,15.41,53.42,21.23,49.13,4115.28,1.0
233.48,9.83,34.65,21.02,49.59,2293.91,0.0
246.28,13.95,41.92,22.14,47.16,3435.7,1.0
230.69,10.47,36.46,23.46,49.27,2415.93,0.0
246.94,14.44,51.35,21.34,48.37,3566.35,1.0
235.19,8.55,34.56,24.93,49.43,2011.03,0.0
213.63,13.35,68.6,19.3,47.39,2852.98,1.0
231.48,9.7,36.81,24.92,49.3,2244.64,0.0
227.09,13.22,57.39,24.94,49.61,3001.39,1.0
235.72,10.83,34.66,21.45,49.89,2552.38,0.0
218.46,17.02,72.63,14.72,48.66,3717.63,1.0
231.22,9.39,35.6,22.26,50.08,2172.26,0.0
225.52,12.47,42.62,13.02,48.11,2812.53,1.0
221.87,17.26,56.4,19.91,48.92,3829.76,1.0
241.66,14.6,56.62,18.27,49.98,3527.49,1.0
245.61,13.61,55.32,19.73,48.71,3342.92,1.0
236.11,9.95,35.48,25.16,49.65,2350.23,0.0
223.42,9.62,30.07,24.96,51.22,2148.86,0.0
226.19,12.77,34.06,23.09,49.84,2887.59,0.0
226.31,14.22,59.05,19.08,52.41,3217.28,1.0
224.08,8.88,32.58,19.38,49.59,1990.33,0.0
234.86,10.21,34.82,23.41,49.12,2398.35,0.0
259.12,11.28,40.53,17.62,48.59,2923.98,1.0
230.98,10.84,32.21,25.53,50.3,2504.8,0.0
243.07,11.99,49.63,14.39,52.66,2914.03,1.0
234.45,11.49,36.79,22.84,50.63,2693.92,0.0
227.41,11.11,38.73,22.95,46.77,2526.38,1.0
233.27,9.27,31.48,20.63,49.36,2163.59,0.0
242.76,11.48,64.01,14.38,48.63,2786.91,1.0
229.17,10.53,38.87,23.09,50.19,2413.55,0.0
218.76,8.87,32.27,24.85,50.04,1939.81,0.0
238.62,12.57,34.17,20.82,49.72,2999.4,0.0
259.78,21.63,52.4,18.87,47.28,5618.39,1.0
233.9,16.68,49.43,27.11,49.93,3900.99,1.0
240.93,11.92,65.34,25.13,45.58,2871.54,1.0
250.74,12.48,63.29,21.94,49.02,3129.2,1.0
229.97,11.39,50.39,16.62,49.42,2619.69,1.0
250.21,11.29,67.1,19.6,50.21,2824.83,1.0
232.44,10.43,37.99,20.27,49.97,2425.19,0.0
232.93,9.94,32.62,22.2,50.13,2315.13,0.0
228.09,10.1,31.83,24.56,48.36,2303.54,0.0
228.81,10.07,32.89,24.96,50.18,2303.84,0.0
232.42,10.58,35.59,18.95,50.44,2458.3,0.0
233.77,17.91,59.94,16.76,49.24,4187.86,1.0
230.76,10.03,36.87,21.68,49.85,2314.09,0.0
221.94,18.93,61.58,23.18,47.84,4200.77,1.0
227.44,10.8,34.24,22.67,50.2,2457.24,0.0
230.56,11.14,39.89,23.78,50.79,2568.03,0.0
231.9,10.77,38.55,23.03,49.9,2496.7,0.0
228.6,10.36,37.68,21.7,49.43,2368.61,0.0
245.42,13.83,61.48,25.13,52.16,3393.63,1.0
234.96,9.71,31.89,22.75,49.79,2280.63,0.0
263.81,17.69,58.08,19.27,47.41,4665.64,1.0
235.18,11.09,36.41,21.35,49.87,2608.94,0.0
229.09,10.97,51.0,13.12,45.92,2513.26,1.0
229.51,9.68,36.07,22.25,49.79,2220.91,0.0
228.24,10.84,35.84,25.17,49.15,2473.33,0.0
237.62,12.28,41.14,19.1,48.45,2917.89,1.0
246.61,14.16,47.16,26.73,48.59,3492.79,1.0
233.55,9.52,37.71,22.45,50.61,2222.27,0.0
257.69,15.26,46.06,17.72,51.7,3933.55,1.0
236.73,18.13,46.49,15.87,49.82,4292.36,1.0
223.27,10.78,38.79,23.25,49.77,2405.85,0.0
249.28,18.43,42.36,20.79,46.73,4594.24,1.0
255.0,9.39,54.89,14.83,49.13,2395.33,1.0
237.57,13.49,64.73,14.06,50.06,3204.4,1.0
223.83,10.35,31.25,23.84,50.5,2315.58,0.0
214.25,9.61,46.11,18.83,48.84,2059.4,1.0
227.03,9.9,38.16,22.47,49.75,2248.67,0.0
235.02,8.22,37.25,21.83,49.66,1932.02,0.0
244.26,20.74,61.89,26.75,47.37,5065.53,1.0
275.28,19.26,60.84,19.3,50.52,5303.13,1.0
249.3,16.36,69.57,22.31,47.49,4078.34,1.0
252.77,6.35,52.26,21.48,49.82,1604.36,1.0
220.18,8.73,33.3,21.82,50.58,1922.07,0.0
242.97,17.88,64.46,27.38,48.3,4344.66,1.0
223.74,18.37,58.81,19.14,48.14,4109.85,1.0
235.21,8.58,59.78,21.42,49.97,2018.71,1.0
237.84,10.4,38.44,21.18,50.32,2473.98,0.0
219.43,10.25,47.27,22.06,46.68,2249.13,1.0
231.26,10.3,32.29,21.82,50.26,2381.17,0.0
233.9,11.01,29.93,26.73,50.24,2576.07,0.0
226.46,21.11,58.3,17.2,50.2,4779.44,1.0
233.78,16.06,53.74,19.35,46.99,3755.65,1.0
234.35,11.36,64.49,20.3,48.21,2663.13,1.0
228.72,10.05,39.28,21.31,50.07,2298.59,0.0
223.72,8.92,34.01,25.19,49.9,1995.76,0.0
230.37,10.65,34.38,22.61,50.79,2453.29,0.0
235.65,10.0,39.34,23.59,49.57,2356.45,0.0
224.26,11.14,40.05,25.44,49.91,2498.9,0.0
220.07,9.62,35.2,22.99,49.63,2117.68,0.0
226.01,8.51,32.84,23.26,50.83,1923.43,0.0
228.83,9.65,37.46,20.91,50.15,2208.6,0.0
240.46,10.89,62.49,21.24,50.14,2618.18,1.0
227.5,10.35,32.77,23.21,49.83,2354.6,0.0
228.76,13.46,57.11,15.48,50.56,3079.86,1.0
235.27,12.28,33.35,24.52,50.43,2888.77,0.0
224.27,9.67,34.48,24.92,50.21,2167.77,0.0
228.65,9.27,27.14,26.9,49.99,2119.93,0.0
225.11,9.51,33.27,23.89,49.88,2139.82,0.0
218.83,17.82,44.85,19.44,49.04,3898.73,1.0
231.19,20.43,47.03,16.25,48.43,4722.62,1.0
235.54,17.02,51.54,18.34,47.49,4008.46,1.0
235.57,13.3,47.43,20.17,51.32,3133.51,1.0
229.88,10.15,53.8,17.87,45.64,2334.45,1.0
228.57,8.34,31.47,18.93,50.36,1907.33,0.0
226.62,9.31,32.48,26.31,50.03,2110.43,0.0
228.49,8.69,34.42,22.91,50.57,1985.1,0.0
251.32,12.03,51.04,17.92,50.24,3024.63,1.0
227.73,8.63,34.38,22.75,49.6,1965.74,0.0
248.45,17.6,63.68,18.85,47.67,4371.56,1.0
233.03,10.47,34.52,24.8,49.56,2440.49,0.0
237.77,11.88,54.24,16.43,45.92,2824.92,1.0
235.12,11.7,41.4,20.09,50.59,2750.18,1.0
234.67,10.08,33.09,20.37,49.49,2364.5,0.0
228.95,10.08,42.53,21.42,50.38,2308.86,0.0
252.34,23.45,49.22,19.25,49.72,5916.88,1.0
226.85,11.78,41.45,19.13,50.09,2671.97,0.0
245.0,13.79,58.04,23.24,49.22,3377.67,1.0
224.41,9.19,33.29,22.89,49.52,2061.52,0.0
237.93,13.72,45.95,14.91,49.05,3264.39,1.0
205.96,15.45,54.26,19.97,48.2,3182.68,1.0
270.27,11.62,63.34,19.4,48.46,3141.69,1.0
234.3,8.99,36.14,21.36,49.94,2105.79,0.0
255.18,13.97,54.32,20.21,51.21,3563.95,1.0
261.36,13.87,56.43,14.33,48.99,3624.66,1.0
216.39,11.88,59.39,21.62,49.81,2570.62,1.0
231.26,8.95,32.7,23.56,49.83,2070.63,0.0
211.05,13.91,59.98,19.11,49.37,2935.93,1.0
221.28,8.61,34.62,23.94,49.72,1904.36,0.0
226.38,9.74,30.29,21.75,50.09,2203.98,0.0
229.88,9.6,30.61,21.64,49.93,2207.02,0.0
234.22,14.99,50.07,23.35,51.53,3509.99,1.0
233.3,11.29,31.68,26.11,50.64,2633.18,0.0
256.89,17.25,66.35,24.86,48.95,4431.95,1.0
233.57,16.99,45.79,15.11,50.88,3967.81,1.0
230.59,17.37,43.95,14.69,51.04,4006.46,1.0
228.84,10.52,36.69,22.49,50.06,2407.98,0.0
255.11,15.35,52.26,19.06,50.41,3916.7,1.0
226.6,9.09,35.1,20.15,50.45,2060.23,0.0
234.04,10.7,69.48,15.04,50.95,2504.52,1.0
220.34,8.87,34.61,22.53,49.97,1953.44,0.0
233.77,10.56,34.63,24.55,49.87,2468.52,0.0
224.34,11.0,32.06,21.25,50.31,2468.69,0.0
231.75,9.56,32.7,23.64,49.05,2215.87,0.0
250.26,17.24,54.49,22.2,47.84,4314.09,1.0
241.84,16.16,51.08,16.91,50.68,3908.59,1.0
229.07,9.72,34.36,23.83,49.58,2225.68,0.0
246.53,16.99,62.79,17.41,51.2,4187.64,1.0
237.96,9.17,38.98,24.78,51.3,2181.25,0.0
257.05,12.63,62.26,20.04,51.67,3247.39,1.0
227.41,10.28,40.11,23.98,50.31,2338.41,0.0
228.45,12.31,69.63,15.05,46.44,2811.76,1.0
235.44,10.45,35.49,23.02,50.04,2460.54,0.0
233.68,20.38,60.89,9.96,48.26,4761.15,1.0
269.25,18.28,62.36,20.86,49.19,4921.71,1.0
227.88,9.15,36.67,19.56,49.82,2084.33,0.0
234.26,19.22,60.92,19.42,46.78,4502.29,1.0
232.22,9.53,35.5,25.69,50.87,2212.14,0.0
248.13,13.46,40.61,21.58,51.68,3340.55,1.0
229.63,8.58,34.7,21.85,50.53,1970.66,0.0
229.65,16.0,58.17,25.08,47.88,3675.5,1.0
235.77,11.2,34.68,22.9,51.51,2640.84,0.0
236.05,9.98,35.41,21.8,50.32,2355.08,0.0
239.55,10.32,35.23,23.16,49.43,2471.92,0.0
226.82,10.28,36.13,23.76,49.89,2332.13,0.0
215.64,20.3,57.03,15.13,52.3,4377.8,1.0
249.71,13.94,49.28,19.36,52.04,3479.88,1.0
226.04,10.4,35.35,25.69,49.91,2350.45,0.0
244.28,21.16,54.35,18.3,48.04,5170.1,1.0
259.2,16.4,56.68,24.72,48.97,4251.0,1.0
244.43,10.69,59.72,25.82,48.81,2613.95,1.0
235.36,9.0,40.97,23.4,50.05,2119.36,0.0
215.83,13.15,60.13,13.54,48.94,2838.22,1.0
225.69,15.0,45.56,19.18,47.52,3385.83,1.0
232.35,8.28,68.3,20.32,47.07,1923.25,1.0
230.12,13.24,54.38,22.72,49.37,3046.93,1.0
232.83,11.78,58.0,23.36,47.29,2743.65,1.0
230.68,14.87,62.03,18.75,50.39,3430.12,1.0
248.73,18.48,50.27,20.95,46.69,4596.19,1.0
228.64,10.62,33.17,21.08,48.84,2428.08,0.0
240.29,12.89,50.77,17.75,48.8,3097.8,1.0
230.9,8.38,31.81,26.05,50.33,1934.61,0.0
224.49,16.69,42.37,26.18,50.99,3746.19,1.0
226.47,10.34,34.02,23.28,50.06,2341.38,0.0
241.39,15.42,47.28,21.67,47.6,3723.24,1.0
239.51,11.9,38.17,24.17,49.6,2851.2,0.0
230.49,13.3,59.14,21.78,49.95,3065.5,1.0
227.49,10.83,38.38,21.3,50.42,2462.92,0.0
220.87,10.61,34.23,19.79,50.13,2343.04,0.0
227.65,9.65,33.21,24.12,49.95,2196.7,0.0
236.49,17.32,51.9,22.0,47.89,4095.36,1.0
230.0,8.96,33.36,21.75,50.92,2060.4,0.0
226.53,16.25,52.26,22.4,49.26,3680.26,1.0
215.86,13.05,44.74,19.48,51.97,2817.38,1.0
251.47,16.14,65.41,21.61,48.99,4057.8,1.0
210.31,10.98,45.91,23.02,49.89,2309.19,1.0
228.51,9.43,32.26,22.43,49.89,2154.32,0.0
225.67,9.57,35.34,22.5,49.72,2160.55,0.0
223.16,18.91,51.73,15.89,49.23,4219.27,1.0
231.25,9.24,38.45,23.7,50.1,2137.56,0.0
236.55,12.71,37.16,25.99,50.43,3007.58,1.0
247.29,16.87,62.75,19.22,50.34,4172.75,1.0
234.47,8.75,31.48,24.18,48.77,2050.87,0.0
236.85,10.94,35.99,23.44,50.75,2590.26,0.0
230.74,10.11,30.76,23.01,50.52,2332.92,0.0
270.04,17.92,64.31,18.66,48.53,4839.58,1.0
230.57,12.75,57.52,17.64,48.38,2939.91,1.0
233.88,11.81,46.87,21.79,48.64,2762.71,1.0
257.76,18.04,59.32,20.29,49.51,4650.13,1.0
231.68,11.37,33.44,25.07,50.67,2633.77,0.0
233.18,10.99,35.46,20.07,50.37,2562.69,0.0
219.18,9.45,35.09,23.59,50.04,2070.35,0.0
227.69,9.24,34.1,21.83,50.37,2104.31,0.0
224.0,9.11,35.71,24.4,49.87,2040.37,0.0
238.88,12.22,51.85,18.28,50.35,2918.78,1.0
237.68,21.63,77.89,22.03,49.6,5139.99,1.0
225.46,9.38,38.05,23.17,50.25,2113.94,0.0
237.73,19.72,57.37,18.34,47.16,4687.25,1.0
221.33,9.17,31.53,20.29,50.02,2028.87,0.0
231.63,9.29,34.0,22.79,50.0,2152.55,0.0
222.99,10.68,39.53,21.77,49.16,2380.79,0.0
238.67,9.44,31.26,21.07,50.33,2252.44,0.0
248.51,12.44,41.26,26.08,46.68,3091.92,1.0
234.43,11.39,34.69,24.89,49.6,2670.37,0.0
220.64,11.4,56.53,18.23,46.15,2514.27,1.0
245.97,17.29,54.72,23.01,48.99,4251.65,1.0
231.72,9.3,31.73,25.3,49.86,2154.89,0.0
220.67,8.47,34.91,23.63,50.07,1869.69,0.0
225.93,11.2,38.58,21.92,50.37,2530.94,0.0
264.3,15.54,56.64,17.2,49.56,4107.26,1.0
229.46,11.14,35.54,24.99,50.45,2556.49,0.0
232.01,12.16,31.75,19.39,50.74,2822.18,0.0
230.56,15.3,62.73,20.69,48.56,3528.35,1.0
231.72,15.05,56.93,22.59,49.98,3487.49,1.0
225.36,17.0,62.44,21.51,48.32,3830.63,1.0
256.08,10.05,44.86,20.27,47.69,2572.36,1.0
249.88,9.68,56.48,19.28,50.95,2419.43,1.0
230.76,9.37,34.51,22.1,49.84,2162.36,0.0
233.74,19.98,49.71,22.82,48.88,4669.3,1.0
227.37,10.66,38.94,24.87,49.53,2423.16,0.0
236.22,14.82,71.72,15.12,48.77,3501.23,1.0
238.44,10.94,35.22,26.11,50.72,2609.16,0.0
240.1,13.67,63.38,18.65,46.4,3281.44,1.0
229.66,10.16,34.7,21.14,49.56,2333.27,0.0
221.71,18.3,40.14,21.17,48.37,4056.99,1.0
249.64,17.35,52.95,22.92,50.29,4331.73,1.0
237.67,10.19,31.59,22.86,49.31,2421.08,0.0
223.81,15.15,62.9,16.1,45.99,3391.6,1.0
240.38,11.1,30.06,20.45,49.75,2668.9,0.0
239.46,23.36,59.13,24.81,49.46,5593.34,1.0
231.11,10.92,37.36,23.68,49.79,2523.62,0.0
233.9,9.31,38.0,25.4,49.5,2176.97,0.0
241.93,15.58,54.4,22.63,47.64,3769.02,1.0
239.16,11.71,51.62,18.94,51.83,2800.06,1.0
231.44,9.21,32.3,21.32,49.75,2131.56,0.0
229.65,8.2,34.26,21.06,50.02,1883.9,0.0
238.13,10.14,37.29,21.99,50.21,2415.69,0.0
240.29,14.31,47.61,19.09,50.41,3439.41,1.0
258.36,17.9,63.63,23.37,50.18,4625.62,1.0
223.77,9.48,33.21,25.05,50.41,2122.0,0.0
232.13,10.83,49.65,18.0,48.49,2513.6,1.0
227.67,11.81,37.78,22.75,50.01,2688.72,0.0
224.56,10.33,37.26,21.39,50.21,2318.75,0.0
228.2,7.94,33.39,26.44,49.68,1810.75,0.0
228.65,9.46,35.94,24.49,50.19,2163.42,0.0
233.0,14.57,55.65,23.48,47.61,3393.74,1.0
213.38,12.55,34.6,22.21,49.31,2678.87,0.0
228.13,10.76,38.64,20.49,50.23,2454.72,0.0
270.54,19.74,65.13,19.23,48.12,5339.77,1.0
245.41,13.28,47.65,20.87,50.13,3258.03,1.0
229.68,8.93,34.62,22.45,50.89,2051.02,0.0
239.6,15.42,46.8,24.13,49.13,3695.33,1.0
225.46,7.97,34.17,23.65,49.58,1797.92,0.0
233.28,9.55,35.3,22.88,49.05,2226.84,0.0
228.12,10.09,34.7,20.48,50.06,2302.01,0.0
222.69,8.93,39.99,24.84,49.86,1988.63,0.0
234.41,9.72,32.33,23.29,49.95,2277.75,0.0
252.61,15.68,59.14,20.09,49.57,3959.78,1.0
261.77,17.99,31.08,18.17,51.89,4708.61,1.0
236.46,10.92,71.79,17.71,47.06,2582.15,1.0
242.16,12.37,62.87,21.93,49.2,2996.41,1.0
234.03,11.44,38.9,21.21,49.87,2677.17,0.0
230.33,20.89,64.56,20.23,47.57,4811.42,1.0
226.73,14.63,47.04,24.03,48.44,3317.79,1.0
